[server 0 | term=0 | commit index=0] start, majority is: 2
[server 1 | term=0 | commit index=0] start, majority is: 2
[server 2 | term=0 | commit index=0] start, majority is: 2
Test (2A): initial election ...
[server 1 | term=0 | commit index=0] election timeout
[server 1 | term=1 | commit index=0] send vote request to server 0
[server 1 | term=1 | commit index=0] send vote request to server 2
[server 0 | term=0 | commit index=0] received vote request
[server 0 | term=0 | commit index=0] candidate 1 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=0 | commit index=0] received vote request
[server 2 | term=0 | commit index=0] candidate 1 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=1 | commit index=0] vote for server 1 in term 1
[server 2 | term=1 | commit index=0] vote for server 1 in term 1
[server 1 | term=1 | commit index=0] candidate has been elected as leader
  ... Passed --   3.0  3   56   17330    0
[server 0 | term=0 | commit index=0] start, majority is: 2
[server 1 | term=0 | commit index=0] start, majority is: 2
[server 2 | term=0 | commit index=0] start, majority is: 2
Test (2A): election after network failure ...
[server 0 | term=0 | commit index=0] election timeout
[server 0 | term=1 | commit index=0] send vote request to server 2
[server 0 | term=1 | commit index=0] send vote request to server 1
[server 2 | term=0 | commit index=0] received vote request
[server 2 | term=0 | commit index=0] candidate 0 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=0 | commit index=0] received vote request
[server 1 | term=0 | commit index=0] candidate 0 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=1 | commit index=0] vote for server 0 in term 1
[server 0 | term=1 | commit index=0] candidate has been elected as leader
[server 1 | term=1 | commit index=0] vote for server 0 in term 1
[server 0 2021-04-04 22:34:51.186026 +0800 CST m=+3.563900760] disconnect leader
[server 2 | term=1 | commit index=0] election timeout
[server 2 | term=2 | commit index=0] send vote request to server 0
[server 2 | term=2 | commit index=0] send vote request to server 1
[server 1 | term=1 | commit index=0] received vote request
[server 1 | term=1 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=2 | commit index=0] vote for server 2 in term 2
[server 2 | term=2 | commit index=0] candidate has been elected as leader
[server 0 2021-04-04 22:34:52.152732 +0800 CST m=+4.530604567] rejoin leader
[server 2 | term=2 | commit index=0] stale leader: 0
[server 1 | term=2 | commit index=0] stale leader: 0
[server 2 2021-04-04 22:34:52.685716 +0800 CST m=+5.063587559] disconnect
[server 0 2021-04-04 22:34:52.685926 +0800 CST m=+5.063798227] disconnect
[server 1 | term=2 | commit index=0] election timeout
[server 1 | term=3 | commit index=0] send vote request to server 2
[server 1 | term=3 | commit index=0] send vote request to server 0
[server 0 | term=2 | commit index=0] election timeout
[server 0 | term=3 | commit index=0] send vote request to server 2
[server 0 | term=3 | commit index=0] send vote request to server 1
[server 0 | term=3 | commit index=0] election timeout
[server 0 | term=4 | commit index=0] send vote request to server 2
[server 0 | term=4 | commit index=0] send vote request to server 1
[server 1 | term=3 | commit index=0] election timeout
[server 1 | term=4 | commit index=0] send vote request to server 0
[server 1 | term=4 | commit index=0] send vote request to server 2
[server 0 2021-04-04 22:34:54.686226 +0800 CST m=+7.064093893] reconnect
[server 0 | term=4 | commit index=0] election timeout
[server 0 | term=5 | commit index=0] send vote request to server 2
[server 0 | term=5 | commit index=0] send vote request to server 1
[server 1 | term=4 | commit index=0] received vote request
[server 1 | term=4 | commit index=0] candidate 0 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=5 | commit index=0] vote for server 0 in term 5
[server 0 | term=5 | commit index=0] candidate has been elected as leader
[server 1 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 2 2021-04-04 22:34:55.150839 +0800 CST m=+7.528706550] reconnect
[server 0 | term=5 | commit index=0] network failure, vote reuqest is out of date
  ... Passed --   5.0  3  124   27402    0
[server 0 | term=0 | commit index=0] start, majority is: 4
[server 1 | term=0 | commit index=0] start, majority is: 4
[server 2 | term=0 | commit index=0] start, majority is: 4
[server 3 | term=0 | commit index=0] start, majority is: 4
[server 4 | term=0 | commit index=0] start, majority is: 4
[server 5 | term=0 | commit index=0] start, majority is: 4
[server 6 | term=0 | commit index=0] start, majority is: 4
Test (2A): multiple elections ...
[server 2 | term=0 | commit index=0] election timeout
[server 2 | term=1 | commit index=0] send vote request to server 0
[server 2 | term=1 | commit index=0] send vote request to server 6
[server 2 | term=1 | commit index=0] send vote request to server 3
[server 2 | term=1 | commit index=0] send vote request to server 4
[server 2 | term=1 | commit index=0] send vote request to server 5
[server 2 | term=1 | commit index=0] send vote request to server 1
[server 0 | term=0 | commit index=0] received vote request
[server 0 | term=0 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=1 | commit index=0] vote for server 2 in term 1
[server 6 | term=0 | commit index=0] received vote request
[server 6 | term=0 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=0 | commit index=0] received vote request
[server 3 | term=0 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 6 | term=1 | commit index=0] vote for server 2 in term 1
[server 4 | term=0 | commit index=0] received vote request
[server 4 | term=0 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 5 | term=0 | commit index=0] received vote request
[server 5 | term=0 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=1 | commit index=0] vote for server 2 in term 1
[server 4 | term=1 | commit index=0] vote for server 2 in term 1
[server 1 | term=0 | commit index=0] received vote request
[server 1 | term=0 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 5 | term=1 | commit index=0] vote for server 2 in term 1
[server 2 | term=1 | commit index=0] candidate has been elected as leader
[server 1 | term=1 | commit index=0] vote for server 2 in term 1
[server 5 | term=1 | commit index=0] election timeout
[server 5 | term=2 | commit index=0] send vote request to server 6
[server 5 | term=2 | commit index=0] send vote request to server 0
[server 5 | term=2 | commit index=0] send vote request to server 1
[server 5 | term=2 | commit index=0] send vote request to server 2
[server 5 | term=2 | commit index=0] send vote request to server 3
[server 5 | term=2 | commit index=0] send vote request to server 4
[server 5 | term=2 | commit index=0] stale leader: 2
[server 0 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 2 | term=2 | commit index=0] election timeout
[server 2 | term=3 | commit index=0] send vote request to server 0
[server 2 | term=3 | commit index=0] send vote request to server 6
[server 2 | term=3 | commit index=0] send vote request to server 3
[server 2 | term=3 | commit index=0] send vote request to server 4
[server 2 | term=3 | commit index=0] send vote request to server 5
[server 2 | term=3 | commit index=0] send vote request to server 1
[server 0 | term=1 | commit index=0] received vote request
[server 0 | term=1 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=1 | commit index=0] received vote request
[server 3 | term=1 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=3 | commit index=0] vote for server 2 in term 3
[server 5 | term=2 | commit index=0] received vote request
[server 5 | term=2 | commit index=0] candidate 2 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=3 | commit index=0] vote for server 2 in term 3
[server 5 | term=3 | commit index=0] vote for server 2 in term 3
[server 2 | term=3 | commit index=0] candidate has been elected as leader
[server 1 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=3 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=1 | commit index=0] election timeout
[server 6 | term=2 | commit index=0] send vote request to server 0
[server 6 | term=2 | commit index=0] send vote request to server 2
[server 6 | term=2 | commit index=0] send vote request to server 3
[server 6 | term=2 | commit index=0] send vote request to server 4
[server 6 | term=2 | commit index=0] send vote request to server 5
[server 6 | term=2 | commit index=0] send vote request to server 1
[server 4 | term=1 | commit index=0] election timeout
[server 4 | term=2 | commit index=0] send vote request to server 6
[server 4 | term=2 | commit index=0] send vote request to server 5
[server 4 | term=2 | commit index=0] send vote request to server 2
[server 4 | term=2 | commit index=0] send vote request to server 1
[server 4 | term=2 | commit index=0] send vote request to server 0
[server 4 | term=2 | commit index=0] send vote request to server 3
[server 5 | term=3 | commit index=0] received vote request
[server 5 | term=3 | commit index=0] refused to vote for server 4 in term 2, self term: 0, self index: 0
[server 1 | term=1 | commit index=0] received vote request
[server 4 | term=2 | commit index=0] candidate is out of date
[server 1 | term=1 | commit index=0] candidate 4 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=3 | commit index=0] received vote request
[server 3 | term=3 | commit index=0] refused to vote for server 4 in term 2, self term: 0, self index: 0
[server 0 | term=3 | commit index=0] received vote request
[server 0 | term=3 | commit index=0] refused to vote for server 4 in term 2, self term: 0, self index: 0
[server 1 | term=2 | commit index=0] vote for server 4 in term 2
[server 4 | term=3 | commit index=0] network failure, vote reuqest is out of date
[server 4 | term=3 | commit index=0] network failure, vote reuqest is out of date
[server 4 | term=3 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=2 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=3 | commit index=0] election timeout
[server 5 | term=4 | commit index=0] send vote request to server 6
[server 5 | term=4 | commit index=0] send vote request to server 1
[server 5 | term=4 | commit index=0] send vote request to server 2
[server 5 | term=4 | commit index=0] send vote request to server 3
[server 5 | term=4 | commit index=0] send vote request to server 4
[server 5 | term=4 | commit index=0] send vote request to server 0
[server 1 | term=2 | commit index=0] received vote request
[server 1 | term=2 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=3 | commit index=0] received vote request
[server 3 | term=3 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 4 | term=3 | commit index=0] received vote request
[server 4 | term=3 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=4 | commit index=0] vote for server 5 in term 4
[server 0 | term=3 | commit index=0] received vote request
[server 0 | term=3 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=4 | commit index=0] vote for server 5 in term 4
[server 4 | term=4 | commit index=0] vote for server 5 in term 4
[server 0 | term=4 | commit index=0] vote for server 5 in term 4
[server 5 | term=4 | commit index=0] candidate has been elected as leader
[server 0 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=4 | commit index=0] stale leader: 2
[server 1 | term=4 | commit index=0] stale leader: 2
[server 4 | term=4 | commit index=0] stale leader: 2
[server 5 | term=4 | commit index=0] stale leader: 2
[server 2 | term=4 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=2 | commit index=0] election timeout
[server 6 | term=3 | commit index=0] send vote request to server 0
[server 6 | term=3 | commit index=0] send vote request to server 1
[server 6 | term=3 | commit index=0] send vote request to server 2
[server 6 | term=3 | commit index=0] send vote request to server 3
[server 6 | term=3 | commit index=0] send vote request to server 4
[server 6 | term=3 | commit index=0] send vote request to server 5
[server 6 | term=3 | commit index=0] network failure, vote reuqest is out of date
[server 3 | term=4 | commit index=0] election timeout
[server 3 | term=5 | commit index=0] send vote request to server 0
[server 3 | term=5 | commit index=0] send vote request to server 4
[server 3 | term=5 | commit index=0] send vote request to server 1
[server 3 | term=5 | commit index=0] send vote request to server 6
[server 3 | term=5 | commit index=0] send vote request to server 2
[server 3 | term=5 | commit index=0] send vote request to server 5
[server 3 | term=5 | commit index=0] stale leader: 5
[server 6 | term=4 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=5 | commit index=0] election timeout
[server 5 | term=6 | commit index=0] send vote request to server 0
[server 5 | term=6 | commit index=0] send vote request to server 6
[server 5 | term=6 | commit index=0] send vote request to server 2
[server 5 | term=6 | commit index=0] send vote request to server 3
[server 5 | term=6 | commit index=0] send vote request to server 4
[server 5 | term=6 | commit index=0] send vote request to server 1
[server 0 | term=4 | commit index=0] received vote request
[server 0 | term=4 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=5 | commit index=0] received vote request
